"date";"departure_time";"departure_station";"arrival_time";"arrival_station";"price";"booking_timestamp";"order_number"
"13.10.2023";" 14:46";" Berlin Hbf";" 16:28";" Hannover Hbf";" 22.40 EUR";" 25/09/2023 15:10";" 33824080493"
"22/10/2023";" 18:06";" Bielefeld Hbf";" 20:57";" Berlin Hbf";" 29.90 EUR";" 25/09/2023 17:44";" 53543290030"
"15.10.2023";" 18:31";" Hannover Hbf";" 20:12";" Berlin Hbf (tief)";" 26.90 EUR";" 25/09/2023 15:31";" 53544586636"
"05/10/2023";" 19:48";" Dortmund Hbf";" 23:11";" Berlin Hbf";" 67.40 EUR";" 05/10/2023 17:08";" 37351550148"
"19.10.2023";" 16:46";" Berlin Hbf";" 19:48";" Hamm(Westf)Hbf";" 44.90 EUR";" 10/10/2023 17:10";" 50321828894"
"11.11.2023";" 15:46";" Berlin Hbf";" 20:15";" Düsseldorf Hbf";" 20.90 EUR";" 18.10.2023 00:36";" 56196413853"
"14.11.2023";" 16:49";" Düsseldorf Hbf";" 21:15";" Berlin Hbf";" 14.90 EUR";" 18.10.2023 00:27";" 57597884635"
"29.12.2023";" 17:45";" Hamburg Hbf";" 21:25";" Düsseldorf Hbf";" 29.90 EUR";" 29.11.2023 20:12";" 14441514231"
"02.01.2024";" 18:52";" Düsseldorf Hbf";" 23:16";" Berlin Hbf";" 26.90 EUR";" 29.11.2023 20:15";" 15819314826"
"02.01.2024";" 17:51";" Düsseldorf Hbf";" 22:24";" Berlin Hbf";" 32.90 EUR";" 29/11/2023 20:18";" 81824339899"
"22.12.2023";" 20:38";" Berlin Hbf";" 22:22";" Hamburg Hbf";" 29.90 EUR";" 29/11/2023 20:05";" 89228905557"
"28/02/2024";" 14:29";" Berlin Hbf";" 19:10";" Düsseldorf Hbf";" 26.90 EUR";" 07/01/2024 23:41";" 31147488160"
"10/03/2024";" 16:52";" Düsseldorf Hbf";" 21:16";" Berlin Hbf";" 40.40 EUR";" 21/01/2024 12:15";" 19047484127"
"14.06.2024";" 20:08";" Düsseldorf Hbf";" 23:46";" Hamburg Hbf";" 20.90 EUR";" 12/02/2024 15:48";" 32679325338"
"15.06.2024";" 12:32";" Düsseldorf Hbf";" 15:51";" Hamburg Hbf";" 29.90 EUR";" 12.02.2024 14:49";" 89295325799"
"29.03.2024";" 15:45";" Berlin Hbf";" 20:07";" Düsseldorf Hbf";" 44.90 EUR";" 27.02.2024 13:18";" 41357304583"
"30/03/2024";" 15:13";" Düsseldorf Hbf";" 19:49";" Hamburg Hbf";" 20.15 EUR";" 27/02/2024 13:24";" 86485393856"
"26/06/2024";" 09:48";" Köln Hbf";" 14:16";" Berlin Hbf";" 40.40 EUR";" 13/04/2024 02:49";" 17726698561"
"23/04/2024";" 10:36";" Berlin Hbf";" 15:42";" Düsseldorf Hbf";" 14.90 EUR";" 13/04/2024 03:05";" 23272801901"
"27/04/2024";" 18:51";" Hamburg Hbf";" 20:55";" Berlin Hbf";" 20.90 EUR";" 17/04/2024 00:32";" 24898561858"
"25/04/2024";"18:57";"Münster(Westf)Hbf";"21:14";"Hamburg Hbf";"37.40 EUR";"24/04/2024 23:28";"95809830662"
"14.06.2024";" 08:45";" Berlin Hbf";" 13:07";" Düsseldorf Hbf";" 49.40 EUR";" 05/05/2024 13:46";" 34097936069"
"17.06.2024";" 11:36";" Hamburg Hbf";" 13:22";" Berlin Hbf";" 22.40 EUR";" 05.05.2024 14:05";" 39830449964"
"20/06/2024";" 07:45";" Berlin Hbf";" 12:09";" Köln Hbf";" 28.40 EUR";" 13/05/2024 14:01";" 12907623808"
"27/05/2024";" 16:52";" Düsseldorf Hbf";" 21:16";" Berlin Hbf";" 32.90 EUR";" 13/05/2024 19:18";" 17272885934"
"24/05/2024";" 10:45";" Berlin Hbf";" 15:07";" Düsseldorf Hbf";" 52.40 EUR";" 13/05/2024 19:12";" 69454683959"
"19/06/2024";" 17:35";" Hamburg Hbf";" 19:22";" Berlin Hbf";" 20.90 EUR";" 24/05/2024 13:13";" 74971510743"
"04.08.2024";" 12:45";" Warszawa Centralna";" 17:09";" Frankfurt(Oder)";" 43.19 EUR";" 12.06.2024 13:54";" 92788735491"
"22.08.2024";" 19:38";" Berlin Hbf";" 22:09";" Hamburg Hbf";" 8.99 EUR";" 09.07.2024 15:33";" 23239076380"
